Distancia	2	5	10	15	20
10	1.011	1.012	1.010	1.009	1.008
20	1.023	1.023	1.020	1.018	1.016
30	1.036	1.035	1.029	1.025	1.020
40	1.047	1.044	1.036	1.029	1.022
50	1.055	1.051	1.041	1.031	1.021
60	1.063	1.058	1.046	1.032	1.019
70	1.071	1.066	1.050	1.033	1.017
80	1.079	1.073	1.054	1.033	1.011
90	1.083	1.074	1.047	1.017	0.988
